SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
MP,,222454,FUNDO CN.080 080x095x012 FD,,Almox Prod Especiais
MP,,222455,OLHAL TUBULAR 063X040X100,,Almox Prod Especiais
MP,,222456,PORCA AUTO TRAVANTE MÉTRICA ALTA M30X2,,Almox Prod Especiais
MP,,222457,TOMADA DE OLEO TB LIG16H30,,Almox Prod Especiais
MP,,222459,TOMADA DE OLEO 1/2 BSP,,Almox Prod Especiais
MP,,222462,TUBO TLH 016X2 USINADO,,Almox Prod Especiais
MP,,222463,TUBO TCH 095x080x07.5 BRUNIDO C/ PROTEÇÃO - CTH4500,,Almox Prod Especiais
MP,,222464,DISTANCIADOR H060,,Almox Prod Especiais
MP,,222859,CONTRA PINO 3/16 X 3,,Almox Prod Especiais
MP,,226110,"ESTICADOR P/CABO DE AÇO 1"" GANCHO/OLHAL",,Almox Prod Especiais
MP,,226112,"ESTICADOR P/CABO DE AÇO 7/8"" GANCHO/OLHAL",,Almox Prod Especiais
MP,,226114,MOLA TRAÇÃO MT 4X29 5X104X151 5T CRUZ,,Almox Prod Especiais
MP,,226183,"EMENDA DUPLA P/ CORR. ASA-50 5/8""",,Almox Prod Especiais
MP,,226185,EMENDA 2050 - INOX,,Almox Prod Especiais
MP,,226404,"CORRENTE DUPLA ASA-50 5/8""",,Almox Prod Especiais
MP,,226407,"CORRENTE SIMPLES ASA-100 1.1/4""",,Almox Prod Especiais
MP,,236206,MANCAL DE APOIO TIPO P205 C/ ROLAMENTO 25MM,,Almox Prod Especiais
MP,,236208,MANCAL APOIO P206,,Almox Prod Especiais
MP,,236212,MANCAL PA 206,,Almox Prod Especiais
MP,,236214,MANCAL DE APOIO TIPO P204 C/ ROLAMENTO 20MM,,Almox Prod Especiais
MP,,236220,MANCAL TUJ 506,,Almox Prod Especiais
MP,,238408,MOLA PARA APLICADOR TNT,,Almox Prod Especiais
MP,,240215,"MANG A/P SAE-100 3/8"" x 4500mm - 1 TERM. RETO 1 TERM. A 90º",,Almox Prod Especiais
MP,,240217,"MANG A/P SAE-100 3/8"" x 1400mm TERM. RETO/RETO JIC 3/4""",,Almox Prod Especiais
