SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
AL01 - SL1,C15,398030,KIT ADESIVO FORRAGEIRA CBH5 (Un),,Central
AL01 - SL1,C16,398053,KIT ADESIVO BASICA FA2 METALICA (Un),,Central
AL01 - SL1,C21,398023,KIT ADESIVO TANQUE FTC4300R (Un),,Central
AL01 - SL1,C22,398031,KIT ADESIVO FORRAGEIRA CBH6 (Un),,Central
AL01 - SL1,C23,398042,KIT ADESIVO CAFEEIRA CBHM4500 (Un),,Central
AL01 - SL1,C24,398024,KIT ADESIVO TANQUE FTC6500 (Un),,Central
AL01 - SL1,C25,398037,KIT ADESIVO FORRAGEIRA CBH6,,Central
AL01 - SL1,C26,398036,KIT ADESIVO FORRAGEIRA CBH6R (Un),,Central
AL01 - SL1,C31,398026,"KIT ADESIVO USO GERAL CBH3,5 (Un)",,Central
AL01 - SL1,C32,398039,KIT ADESIVO USO GERAL CBHM6000,,Central
AL01 - SL1,C33,398051,KIT ADESIVO USO GERAL CBHM3500 (Un),,Central
AL01 - SL1,C34,398048,KIT ADESIVO USO GERAL CBHM6000 (Un),,Central
AL01 - SL1,C35,398057,KIT ADESIVO ROCADEIRA ROCAX1800 (Un),,Central
AL01 - SL1,C36,398052,KIT ADESIVO BASICA FA4 FB,,Central
AL01 - SL1,C41,398033,KIT ADESIVO FORRAGEIRA CBH7 (Un),,Central
AL01 - SL1,C42,398029,KIT ADESIVO USO GERAL CBH7 (Un),,Central
AL01 - SL1,C43,398028,KIT ADESIVO USO GERAL CBH6 (Un),,Central
AL01 - SL1,C44,398025,KIT ADESIVO TANQUE FTD5000 (Un),,Central
AL01 - SL1,C44,398022,KIT ADESIVO TANQUE FT12500 (Un),,Central
AL01 - SL1,C52,398059,KIT ADESIVO FORRAGEIRA CBHM10000,,Central
AL01 - SL1,C52,398050,KIT ADESIVO FORRAGEIRA CBH9,,Central
AL01 - SL1,C53,398038,KIT ADESIVO TRANSPLANTADEIRA TRP6000 (Un),,Central
AL01 - GAV,GT17,534539,BICO DUPLO 4.0 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534538,BICO DUPLO 3.5 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534537,BICO DUPLO 3.0 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534536,BICO DUPLO 2.5 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534535,BICO DUPLO 2.0 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534534,BICO DUPLO 1.5 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534540,CERÂMICA P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534541,JANELA DE PROTEÇÃO INFERIOR JFY Ø37 D7 (Un),,Central
AL01 - GAV,GT17,534533,BICO SIMPLES 4.0 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534532,BICO SIMPLES 3.5 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534531,BICO SIMPLES 3.0 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534530,BICO SIMPLES 2.5 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534529,BICO SIMPLES 2.0 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534528,BICO SIMPLES 1.5 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534527,BICO SIMPLES 1.2 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534526,BICO SIMPLES 1.0 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534567,BICO HIGH SPEED 1.4 ESPECIAL DUPLO  JFY (Un),,Central
AL01 - GAV,GT17,534569,BICO 1.6 ESPECIAL P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534566,BICO DUPLO 1.2 P/ LASER JFY (PLAQUETA 1550) (Un),,Central
AL01 - GAV,GT17,534568,BICO HIGH SPEED 1.4 ESPECIAL JFY (Un),,Central
AL04 - SER,,134011,TUBO RETANGULAR 150 X 100 X 6.35 X 7200 (KG),,Central
AL04 - SER,,126299,AÇO CHATO LAM 5/16 X 2 SAE,,Central
AL04 - CHA,,120205,BOBINA CHAPA 3.00 LN 500 (KG),,Central
AL04 - SER,,134388,TUBO SCHEDULLE 40,,Central
AL06 - CARPINTARIA,,116659,MAD TABUA       2.0X15.0X200.0 (Un),,Central
AL04 - SER,,134157,TUBO MECANICO  50 X  32  ST,,Central
AL04 - SER,,110784,ACO LAMINADO RED 5.1/2    1045 (KG),,Central
AL06 - CARPINTARIA,,115113,MAD TABUA  CEN/S 2.0X15.0X320.0 (Un),,Central
AL04 - SER,,110097,ACO LAMINADO RED 8         8620 (KG),,Central
AL06 - CARPINTARIA,,115734,MAD ASSOALHO    2.0X12.0X320.0 (Un),,Central
AL06 - CARPINTARIA,,115114,MAD TABUA  CEN/S 2.0X10.0X320.0 (Un),,Central
AL06 - CARPINTARIA,,115631,MAD ASSOALHO    2.0X12.0X400.0 (Un),,Central
AL04 - CHA,,120121,"CHAPA FF #18   (1,21)     1010 (KG)",,Central
AL06 - CARPINTARIA,,115435,MAD ASSOALHO    2.0X15.0X150.0 (Un),,Central
AL04 - CHA,,120112,CHAPA ANTI,,Central
AL04 - CHA,,134132,TUBO MECANICO  32 X  20  ST,,Central
