SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
NÃO EXISTE,,200248,PLUG UNIVERSAL P/ SOLENOIDE (Un),20,Central
AL02,,225679,ARO 20 x 7.5 (Un),20,Central
AL08,,224581,CORREIA TRANSP. HORIZONTAL C/ TALISCAS U 1 27000 X 480MM (Un),4,Central
AL08,,224584,CORREIA TRANSP. ELEVATÓRIA C/ TALISCAS RETAS 5.300 X 480mm C/ talisca e borda (Un),4,Central
AL04,,120923,"CHAPA GQ 5/8 (15,8) A36/CIVIL300 (KG)","5967,73",Central
NÃO EXISTE,,299010,CARDAN REF. CC,3,Central
AL08,,299960,CARDAN REF. CC,3,Central
AL01,B03,200404,KIT ACESSÓRIOS MULTI,3,Central
AL01,CH,288205,ROLAMENTO YAR 204,111,Central
AL01,CH,288767,ROLAMENTO REF 6302 (Un),180,Central
AL01,CH,288208,ROLAMENTO YAR 206,45,Central
AL01,CH,288200,ROLAMENTO FRM 207 EIXO 35MM (Un),38,Central
AL01,CH,288198,ROLAMENTO YAR 208,20,Central
AL01,CH,288009,ROLAMENTO 6001 2RS (Un),10,Central
AL01,CH,213849,CORREIA ABERTA V20M ,3,Central
NÃO EXISTE,,200406,KIT BOMBA MULTI,1,Central
AL01,CH,200491,"TELA SOMBRITE PRETA 70% 3,00M LARG. (M)",100,Central
NÃO EXISTE,,200402,KIT MULTI,1,Central
NÃO EXISTE,,224572,CORREIA TRANSP. LISA PRETA C/03 LONAS CF150 RAA CÓD. P.20.194.01.01 (Un),1,Central
AL04,,120985,CHAPA EXPANDIDA 1/4 X 2000 X 1000MM (Un),4,Central
AL01,PJ06,200335,GUIA UHMW EST. LATERAL 75 x 2970mm ,12,Central
AL01,GT01,648384,INS SPMG 07T308 ZVRW1328 (Un),20,Central
AL04,,134034,"TUBO QDR 30,00 X 3MM (KG)","25,52",Central
NÃO EXISTE,,224395,CORREIA TRANS VM 9/2,4,Central
AL04,,126160,AÇO CHATO LAM 1/2 X 2.1/2 SAE,"75,97",Central
AL01,B01,258143,PARAF SEX 1/2 X 3 UNF ZB (Un),402,Central
AL01,B,350076,,0,Central
AL01,,496819,TUBO ESC 1.1/2 GALV TANQUE (Un),0,Central
AL01,,481040,SUSPIRO TANQUE (Un),0,Central
AL01,,496832,TUBO ESC 2 GALV TANQUE (Un),0,Central
AL01,,410639,"MANIVELA BORBOLETA 1/2"" [FTC/FT6500] (Un)",0,Central
AL01,,31694,CONJUNTO APOIO DA MANGUEIRA - TANQUES (Un),7,Central
AL01,,31690,CONJUNTO APOIO DA MANGUEIRA GRADIL - TANQUES (Un),7,Central
AL01,,447006,"PORTA CABO - FREIO U4/6 P2/4 A3,5 (Un)",24,Central
AL01,,31689,APOIO DO CARDAN (Un),0,Central
AL01,,30694,ALAVANCA DE FREIO - CHASSI SC CBH/CBHM 4T M17,0,Central
AL01,,28832,VARÃO DA TRAVA - CBH 2 EIXOS (Un),0,Central
AL01,,26333,"CORRENTE SEM GANCHO CARROCERIA METALICA S4,0/G4,0 (Un)",0,Central
AL01,,26332,"CORRENTE COM GANCHO CARROCERIA METALICA S4,0/G4,0 (Un)",0,Central
AL01,,32048,CORRENTE COMPLEMENTAR SIMPLES CARROC,10,Central
AL01,,23322,APOIO DA MANGUEIRA CBHM 2 EIXOS (Un),0,Central
AL01,,439721,PINO TRAS - BAL TANDEM FA4/6 (Un),0,Central
AL01,,450133,PINO TRAS. BALANCIM UVA (Un),0,Central
AL01,,28844,PINO DA TAMPA TRASEIRA [CBH] (Un),0,Central
AL01,,444947,PINO ICAMENTO - CX ACESS CAR (Un),0,Central
AL01,,32232,PINO DO BRACO - TANDEM CBH/CBHM M20 (Un),0,Central
AL01,,25472,PINO DO CILINDRO CBH8 (Un),30,Central
AL01,,412168,ARRUELA ENCOSTO - ICAM U6T (Un),100,Central
AL01,,32233,PINO DE ARTICULAÇÃO [CBH/CBHM-1E] (Un),6,Central
AL01,,32234,PINO DE ARTICULAÇÃO _ CBH/CBHM 02 EIXOS (Un),0,Central
AL01,,496996,PINO MAIOR CILINDRO - ACESS CBH (Un),0,Central
AL01,,490430,PINO MENOR CILINDRO - ACESS CBHM (Un),0,Central
AL01,,25856,PINO CENTRAL - ACESS (M14) CBH/CBHM 02 EIXOS (Un),0,Central
AL01,,25782,MANCAL DO CILINDRO - CBH 8T (Un),0,Central
AL01,,444819,PINO GUIA BALANC-CX ACESS FT5 (Un),0,Central
AL01,,444868,PINO TRASEIRO BALANCIM / ABERTURA LATERAL [CBH/CBHM/F/FA/FTC] (Un),80,Central
AL01,,443426,PINO FEIXE MOLA-ROD U4 P4P2 (Un),0,Central
AL01,,443827,PINO ICAMENTO (M98) FA (Un),0,Central
AL01,,443438,PINO CENTRO-5 RODA U6U4 (Un),0,Central
AL01,,33331,PINO DE ENGATE C/ ARGOLA [CBH/CBHM/F/FA] (Un),71,Central
AL01,,486553,PINO DA TAMPA TRAS/ROLD CBH/CBHM (Un),134,Central
AL01,,424020,DEGRAU INFERIOR TANQUES (Un),0,Central
AL01,,461246,PINO DE FEIXE DE MOLAS CBH (Un),0,Central
AL01,,443360,PINO ALAV/COMANDO - FREIO CAR (Un),0,Central
AL01,,457012,TENSOR CABOS - FREIO CAR,0,Central
AL01,,497101,CINTA FREIO - EIXO TRAS F4CC (Un),0,Central
AL01,,25656,TRAVA DO GRAMPO DA MOLA - ACESS CARRETAS (NOV13...) (Un),0,Central
AL04,,134019NAC,TUBO RETANGULAR 200 X 100 X 6.35 (KG),1764,Central
AL10,,801136,ARGONIO GASOSO (M3),30,Central
AL01,PJ06,236210,MANCAL PA 204 (Un),24,Central
NÃO EXISTE,,299719,TE RECALQUE 2 220,1,Central
NÃO EXISTE,,117113,TARUGO NYLON RED. DE 100mm. (M),"28,2",Central
AL01,AM06,226114,MOLA TRAÇÃO MT 4X29 5X104X151 5T CRUZ (Un),12,Central
NÃO EXISTE,,650301,"INS TDT 6.00 E 0,80 TT7220 (Un)",10,Central
AL01,CH,200371,"TELA SOMBRAX PRETA 50% 3,00 (M)",42,Central
AL01,AM06,238409,MOLA PARA FIXAR FILME ,"5,1",Central
AL02,,299715,CARDAN REF. 2001/2P B20B20,8,Central
NÃO EXISTE,,240551,ADAPT. MACHO JIC 3/4 X 3/8 NPT (Un),58,Central
AL01,CX,200490,CONEC. SAK C/ PORTA FUSÍVEL C/ SIN 24V MAT,69,Central
NÃO EXISTE,,649042,INS 16 IRM AG 60 VP 15 MIT (Un),5,Central
NÃO EXISTE,,292258,JOELHO 90º JIC 1.1/16 X 1.5/16 UNF (Un),7,Central
NÃO EXISTE,,200030,ELEMENTO FILTRANTE HEK85,2,Central
MANUTENÇÃO,,501082,ROLAMENTO 6204,22,Central
MANUTENÇÃO,,504776,UNIÃO FG ASSENTO PLANO 1/2 (Un),14,Central
MANUTENÇÃO,,534222,"ABRACADEIRA NYLON 0,20CM PRETA (Un)",900,Central
MANUTENÇÃO,,504730,JOELHO FEMEA NPT 3/4 X 3/4 (Un),2,Central
MANUTENÇÃO,,501700,GRAXA BRANCA SPRAY (Un),9,Central
MANUTENÇÃO,,510392,PARAF ALLEN C/C 14X180MM (Un),4,Central
MANUTENÇÃO,,504950,BUJÃO FG 1 (Un),23,Central
MANUTENÇÃO,,500075,ABRACADEIRA DE NY 200MM NT T050R (Un),900,Central
MANUTENÇÃO,,533024,PLUGUE FEMEA 2P + T 20A TMD2,8,Central
MANUTENÇÃO,,501179,LUVA FG 1 (Un),9,Central
MANUTENÇÃO,,501136,ROLAMENTO 6001 2RS (Un),5,Central
