SETOR,LOCALIZAÇÃO,CÓDIGO,DESCRIÇÃO,QTD,ALMOXARIFADO
PEÇA,,025602,CHAPEAMENTO GUIA - EIXO F4/F6,,Almox Corte e Estamparia
PEÇA,,025603,ESBARRO EIXO BALANCIM - EIXO F4/F6,,Almox Corte e Estamparia
PEÇA,,025614,HASTE TRACAO MENOR-ICAM MAIOR F4/F6/CBHM,,Almox Corte e Estamparia
PEÇA,,025637,"REFORÇO INFERIOR- FECHAMENTO DIAN- CARR F4,5M MELAO 4,00X2,30M",,Almox Corte e Estamparia
PEÇA,,025639,CORPO FECHAM TRAS - CARROC MELAO METALICA,,Almox Corte e Estamparia
PEÇA,,025639,CORPO FECHAM TRAS - CARROC MELAO METALICA,,Almox Corte e Estamparia
PEÇA,,025655,SAPATA DO EIXO C/MOLA CBH/CBHM (NOV13...),,Almox Corte e Estamparia
PEÇA,,025656,TRAVA DO GRAMPO DA MOLA - ACESS CARRETAS (NOV13...),,Almox Corte e Estamparia
PEÇA,,025660,TRANSVERSINA ICAMENTO (M98) FA (NOV13...),,Almox Corte e Estamparia
PEÇA,,025662,FECHAM DIANTEIRO ICAM (M98) FA (NOV13...),,Almox Corte e Estamparia
PEÇA,,025664,HASTE TRACAO C/F (M98) - FA FB (NOV13...),,Almox Corte e Estamparia
PEÇA,,025678,COMPLEMENTO INT. MENOR - CARROCERIA METALICA,,Almox Corte e Estamparia
PEÇA,,025697,ESPAÇADOR - EIXO FAMFI/FB (JAN/2014...),,Almox Corte e Estamparia
PEÇA,,025698,FECHAMENTO DO EIXO - CBHM 4500,,Almox Corte e Estamparia
PEÇA,,025709,HASTE DE TRAÇÃO IÇAMENTO (FEV14...) CBHF (M12),,Almox Corte e Estamparia
PEÇA,,025734,TRANSVERSINA DIANTEIRA - CHASSI F6SS M14,,Almox Corte e Estamparia
PEÇA,,025735,TRANSV. SUPORTE TRASEIRO - CHASSI F6SS M14,,Almox Corte e Estamparia
PEÇA,,025735,TRANSV. SUPORTE TRASEIRO - CHASSI F6SS M14,,Almox Corte e Estamparia
PEÇA,,025739,COMPLEM. TRASV. SUP. TRASEIRO - CHASSI F6SS M14,,Almox Corte e Estamparia
PEÇA,,025743,SUPORTE FIX. DA PLATAF. - CHASSI F6 CS M14,,Almox Corte e Estamparia
PEÇA,,025745,APOIO SUPORTE DE MOLAS - CHASSI F6 CS M14,,Almox Corte e Estamparia
PEÇA,,025818,FECHAM DIANT - COMPL GUIA DO ÊMBOLO - CARR MELÃO,,Almox Corte e Estamparia
PEÇA,,025819,REFORÇO INTERNO - COMPL GUIA DO ÊMBOLO - CARR MELÃO,,Almox Corte e Estamparia
PEÇA,,025821,ARRUELA INTERNA - COMPL GUIA DO ÊMBOLO - CARR MELÃO,,Almox Corte e Estamparia
PEÇA,,025835,BATEDOR DO EIXO - EIXO DIANT CBHM 6000 2E (M14),,Almox Corte e Estamparia
PEÇA,,025845,REF INFERIOR DO EIXO - CBHM 6000 2E (M14),,Almox Corte e Estamparia
PEÇA,,025847,PLACA DE APOIO - 5 RODA - CBH/CBHM 02 EIXOS,,Almox Corte e Estamparia
PEÇA,,025848,CORPO - 5 RODA - CBH/CBHM 02 EIXOS,,Almox Corte e Estamparia
PEÇA,,025856,PINO CENTRAL - ACESS (M14) CBH/CBHM 02 EIXOS,,Almox Corte e Estamparia
PEÇA,,025866,PROTEÇÃO DO PITO - RODA CBH 8T,,Almox Corte e Estamparia
PEÇA,,025876,"ENGATE GRADE TRASEIRA SUP - S3,20M",,Almox Corte e Estamparia
PEÇA,,025890,"COLUNA GIGANTE GRANELEIRO - G3,20M",,Almox Corte e Estamparia
PEÇA,,025890,"COLUNA GIGANTE GRANELEIRO - G3,20M",,Almox Corte e Estamparia
PEÇA,,025955,"CORPO FECHAM LATERAL S4,0M",,Almox Corte e Estamparia
PEÇA,,026077,SUPORTE EXT DO EIXO - ROBUSTA 12T,,Almox Corte e Estamparia
PEÇA,,026078,SUPORTE INT DO EIXO - ROBUSTA 12T,,Almox Corte e Estamparia
PEÇA,,026425,PLACA DE APOIO - CHASSI (M98) F4/6,,Almox Corte e Estamparia
PEÇA,,026453,FECHAM LATERAL GRADE 45 cm,,Almox Corte e Estamparia
