Códigos,Item,Local,Célula,Posição,Cod. Localização,Saldo,almoxarifado
224577, CORREIA TRANSP. ELEVATÓRIA C/ TALISCAS RETAS 11.000 X 480mm C/ talisca e borda (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,6,Central 
240636, KIT DE REPARO (VEDAÇÕES+GUIAS+GAXETAS) CIL TELESC CBH 8T 14 OC 18 OC 19OC (Un),NÃO EXISTE,NÃO EXISTE,,NÃO EXISTE-NÃO EXISTE-,11,Central 
200057, MOTOREDUTOR SELEÇÃO AUXILIAR CÓD. M0512403V5DAW1 (Un),AL08,PROJETOS,,AL08-PROJETOS-,18,Central 
200304," MOTORREDUTOR ENGRENAGENS HIBRIDAS GO42 2 1:77,3 BAC 100L 4 cv 04 60Hz ",AL08,PROJETOS,,AL08-PROJETOS-,3,Central 
200085, MOTOREDUTOR CÓD. M0512602V7DAW (Un),AL08,PROJETOS,,AL08-PROJETOS-,6,Central 
200338, MOTORREDUTOR COROA E ROSCA SEM FIM WCR71 1 1:15 PAJ 90S 2 cv 04 60Hz ,AL08,PROJETOS,,AL08-PROJETOS-,3,Central 
200055, MOTOREDUTOR ESTEIRA DE REFUG CÓD. M0512603V7CAW1 (Un),AL08,PROJETOS,,AL08-PROJETOS-,3,Central 
120911," CHAPA GQ 1/2 (12,7) A36/CIVIL300 (KG)",AL04,CHA,,AL04-CHA-,"747,71",Central 
130256, CANTONEIRA INOX I,AL04,SER,,AL04-SER-,106,Central 
199871,,AL02,GALPÃO,,AL02-GALPÃO-,0,Central 
134109,,AL02,GALPÃO,,AL02-GALPÃO-,0,Central 
240247, MANG. A/P 3/8x 800MM TERM. RETO/90º JIC 3/4 (Un),AL01,EST,CH,AL01-EST-CH,55,Central 
240261, UNIÃO MACHO JIC 3/4 X 1 BSP (Un),AL01,EST,CH,AL01-EST-CH,8,Central 
240263, UNIAO MACHO JIC 7/8 X 1/2 BSP (Un),AL01,EST,CH,AL01-EST-CH,35,Central 
240301, TERM FEMEA JIC 90 MANG 3/8 X 3/4 (Un),AL01,EST,CH,AL01-EST-CH,128,Central 
240270, JOELHO 90º MACHO JIC 3/4 X 3/4 FEMEA JIC (Un),AL01,EST,CH,AL01-EST-CH,116,Central 
240846, JOELHO FG  JIC 7/8 X MACHO JIC 7/8 (Un),AL01,EST,CH,AL01-EST-CH,20,Central 
240272, UNIAO MACHO JIC 7/8 X 3/4 BSP (Un),AL01,EST,CH,AL01-EST-CH,5,Central 
240274, ADAPTADOR MACHO JIC 7/8 X 1/2 NPT (Un),AL01,EST,CH,AL01-EST-CH,4,Central 
